"","ligandreceptor_pair"
"1","A2M->LRP1"
"2","AANAT->MTNR1A"
"3","AANAT->MTNR1B"
"4","ACE->BDKRB2"
"5","ADAM10->EPHA3"
"6","ADAM11->ITGA4"
"7","ADAM12->ITGA9"
"8","ADAM12->ITGB1"
"9","ADAM12->SDC4"
"10","ADAM15->ITGA5"
"11","ADAM15->ITGA9"
"12","ADAM15->ITGAV"
"13","ADAM15->ITGB1"
"14","ADAM15->ITGB3"
"15","ADAM17->ITGA5"
"16","ADAM17->ITGB1"
"17","ADAM17->NOTCH1"
"18","ADAM2->ITGA6"
"19","ADAM2->ITGA9"
"20","ADAM2->ITGB1"
"21","ADAM2->ITGB7"
"22","ADAM23->ITGA4"
"23","ADAM23->ITGA5"
"24","ADAM23->ITGB3"
"25","ADAM28->ITGA4"
"26","ADAM29->ITGA4"
"27","ADAM7->ITGA4"
"28","ADAM7->ITGB7"
"29","ADAM9->ITGA3"
"30","ADAM9->ITGA6"
"31","ADAM9->ITGAV"
"32","ADAM9->ITGB1"
"33","ADAM9->ITGB5"
"34","ADCYAP1->ADCYAP1R1"
"35","ADCYAP1->SCTR"
"36","ADCYAP1->VIPR1"
"37","ADCYAP1->VIPR2"
"38","ADGRB1->RTN4R"
"39","ADGRB1->RTN4RL1"
"40","ADGRB1->RTN4RL2"
"41","ADGRE5->CD55"
"42","ADIPOQ->ADIPOR1"
"43","ADIPOQ->ADIPOR2"
"44","ADM->CALCR"
"45","ADM->CALCRL"
"46","ADM->MRGPRX2"
"47","ADM->RAMP2"
"48","ADM->RAMP3"
"49","ADM2->CALCR"
"50","ADM2->CALCRL"
"51","ADM2->RAMP1"
"52","ADM2->RAMP2"
"53","ADM2->RAMP3"
"54","AFDN->EPHA7"
"55","AFDN->EPHB2"
"56","AFDN->EPHB3"
"57","AFDN->EPHB6"
"58","AFDN->F11R"
"59","AFDN->NECTIN1"
"60","AFDN->NECTIN2"
"61","AFDN->NECTIN3"
"62","AFDN->NECTIN4"
"63","AGRN->ATP1A3"
"64","AGRN->DAG1"
"65","AGRN->LRP4"
"66","AGRN->MUSK"
"67","AGRP->MC3R"
"68","AGRP->MC4R"
"69","AGRP->MC5R"
"70","AGRP->SDC3"
"71","AGT->AGTR1"
"72","AGT->AGTR2"
"73","AGT->LRP2"
"74","AGT->MAS1"
"75","AHSG->INSR"
"76","ALB->LRP2"
"77","ALCAM->CD6"
"78","ALCAM->CHL1"
"79","ALCAM->L1CAM"
"80","ALCAM->NRP1"
"81","ALKAL1->ALK"
"82","ALKAL1->LTK"
"83","ALKAL2->ALK"
"84","ALKAL2->LTK"
"85","AMBN->CD63"
"86","AMELX->CD63"
"87","AMELX->LAMP1"
"88","AMELX->LAMP2"
"89","AMELY->CD63"
"90","AMELY->LAMP1"
"91","AMELY->LAMP2"
"92","AMH->ACVR1"
"93","AMH->AMHR2"
"94","AMH->EGFR"
"95","ANG->PLXNB2"
"96","ANGPT1->ITGA5"
"97","ANGPT1->ITGB1"
"98","ANGPT1->TEK"
"99","ANGPT1->TIE1"
"100","ANGPT2->TEK"
"101","ANGPT2->TIE1"
"102","ANGPT4->TEK"
"103","ANGPTL1->TEK"
"104","ANGPTL2->ITGA5"
"105","ANGPTL2->ITGB1"
"106","ANGPTL2->LILRB2"
"107","ANGPTL3->ITGA5"
"108","ANGPTL3->ITGAV"
"109","ANGPTL3->ITGB3"
"110","ANOS1->FGFR1"
"111","ANOS1->SDC2"
"112","ANPEP->SELE"
"113","ANXA1->DYSF"
"114","ANXA1->EGFR"
"115","ANXA1->FPR1"
"116","ANXA1->FPR2"
"117","ANXA1->FPR3"
"118","ANXA2->ROBO4"
"119","ANXA2->TLR2"
"120","APELA->APLNR"
"121","APLN->APLNR"
"122","APOB->ENO1"
"123","APOB->LDLR"
"124","APOB->LRP2"
"125","APOB->LSR"
"126","APOB->OLR1"
"127","APOD->LEPR"
"128","APOE->LDLR"
"129","APOE->LRP1"
"130","APOE->LRP2"
"131","APOE->LRP5"
"132","APOE->LRP8"
"133","APOE->SCARB1"
"134","APOE->SORL1"
"135","APOE->VLDLR"
"136","APP->CAV1"
"137","APP->CD74"
"138","APP->FPR2"
"139","APP->GPC1"
"140","APP->LRP1"
"141","APP->NCSTN"
"142","APP->TNFRSF21"
"143","AREG->EGFR"
"144","AREG->ERBB3"
"145","ARF1->CHRM3"
"146","ARF1->INSR"
"147","ARF1->PLD2"
"148","ARTN->GFRA1"
"149","ARTN->GFRA3"
"150","ARTN->RET"
"151","ASIP->ATRN"
"152","ASIP->F11R"
"153","ASIP->MC1R"
"154","ASIP->MC2R"
"155","ASIP->MC3R"
"156","ASIP->MC4R"
"157","ASIP->MC5R"
"158","AVP->AVPR1A"
"159","AVP->AVPR1B"
"160","AVP->AVPR2"
"161","AVP->OXTR"
"162","AZGP1->ITGAV"
"163","B2M->CD1A"
"164","B2M->CD1B"
"165","B2M->HLA-F"
"166","B2M->LILRB1"
"167","BAG6->NCR3"
"168","BDNF->NGFR"
"169","BDNF->NTRK2"
"170","BDNF->SORT1"
"171","BGN->FGFR3"
"172","BGN->TLR2"
"173","BGN->TLR4"
"174","BMP10->ACVR2A"
"175","BMP10->ACVRL1"
"176","BMP10->BMPR1A"
"177","BMP10->BMPR1B"
"178","BMP10->BMPR2"
"179","BMP10->ENG"
"180","BMP15->ACVR2A"
"181","BMP15->BMPR1A"
"182","BMP15->BMPR1B"
"183","BMP15->BMPR2"
"184","BMP2->ACVR2A"
"185","BMP2->ACVR2B"
"186","BMP2->BMPR1A"
"187","BMP2->BMPR1B"
"188","BMP2->BMPR2"
"189","BMP2->ENG"
"190","BMP2->HJV"
"191","BMP2->RGMB"
"192","BMP3->ACVR2B"
"193","BMP4->BMPR1A"
"194","BMP4->BMPR1B"
"195","BMP4->BMPR2"
"196","BMP4->CFC1"
"197","BMP4->RGMB"
"198","BMP5->HJV"
"199","BMP6->ACVR1"
"200","BMP6->ACVR2A"
"201","BMP6->BMPR1A"
"202","BMP6->BMPR1B"
"203","BMP6->BMPR2"
"204","BMP6->HJV"
"205","BMP7->ACVR1"
"206","BMP7->ACVR2A"
"207","BMP7->ACVR2B"
"208","BMP7->BMPR1A"
"209","BMP7->BMPR1B"
"210","BMP7->BMPR2"
"211","BMP7->ENG"
"212","BMP7->HJV"
"213","BMP8A->ACVR2A"
"214","BMP8A->ACVR2B"
"215","BMP8A->BMPR1A"
"216","BMP8A->BMPR2"
"217","BMP8A->TGFBR1"
"218","BMP8A->TGFBR2"
"219","BSG->SELE"
"220","BSG->SLC16A1"
"221","BSG->SLC16A7"
"222","BST2->LILRA4"
"223","BTC->EGFR"
"224","BTC->ERBB2"
"225","BTC->ERBB3"
"226","BTC->ERBB4"
"227","BTLA->CD79A"
"228","BTLA->TNFRSF14"
"229","BTLA->VTCN1"
"230","C1QA->CD33"
"231","C1QA->CD93"
"232","C1QA->CSPG4"
"233","C1QB->CD33"
"234","C1QB->LRP1"
"235","C1QTNF1->AVPR2"
"236","C3->C3AR1"
"237","C3->C5AR2"
"238","C3->CD19"
"239","C3->CD46"
"240","C3->CR1"
"241","C3->CR2"
"242","C3->ITGAM"
"243","C3->ITGAX"
"244","C3->ITGB2"
"245","C3->LRP1"
"246","C3->NRP1"
"247","C4A->C3AR1"
"248","C4A->C5AR2"
"249","C4A->CR1"
"250","C4A->NRP1"
"251","C4B->CD46"
"252","C4B->CR1"
"253","C4BPA->BMPR2"
"254","C4BPA->CD40"
"255","C4BPA->LRP1"
"256","C5->C5AR1"
"257","C5->C5AR2"
"258","CADM1->CADM1"
"259","CADM1->CADM3"
"260","CADM1->CRTAM"
"261","CADM1->NECTIN3"
"262","CADM3->CADM1"
"263","CADM3->CADM3"
"264","CADM3->NECTIN1"
"265","CADM3->NECTIN3"
"266","CALCA->CALCR"
"267","CALCA->CALCRL"
"268","CALCA->RAMP1"
"269","CALCA->RAMP2"
"270","CALCB->CALCR"
"271","CALCB->CALCRL"
"272","CALCB->RAMP1"
"273","CALR->ITGA3"
"274","CALR->ITGAV"
"275","CALR->LRP1"
"276","CALR->MTNR1A"
"277","CALR->SCARF1"
"278","CALR->TSHR"
"279","CAMP->FPR2"
"280","CCK->CCKAR"
"281","CCK->CCKBR"
"282","CCL1->CCR8"
"283","CCL11->ACKR2"
"284","CCL11->ACKR4"
"285","CCL11->CCR2"
"286","CCL11->CCR3"
"287","CCL11->CCR5"
"288","CCL11->CXCR3"
"289","CCL13->ACKR2"
"290","CCL13->ACKR4"
"291","CCL13->CCR2"
"292","CCL13->CCR3"
"293","CCL13->CCR5"
"294","CCL13->CXCR3"
"295","CCL14->ACKR2"
"296","CCL14->CCR1"
"297","CCL14->CCR3"
"298","CCL14->CCR5"
"299","CCL15->CCR1"
"300","CCL15->CCR3"
"301","CCL16->CCR1"
"302","CCL16->CCR2"
"303","CCL16->CCR5"
"304","CCL16->CCR8"
"305","CCL16->HRH4"
"306","CCL17->ACKR1"
"307","CCL17->ACKR2"
"308","CCL17->CCR4"
"309","CCL17->CCR8"
"310","CCL18->CCR3"
"311","CCL18->CCR8"
"312","CCL18->PITPNM3"
"313","CCL19->ACKR2"
"314","CCL19->ACKR4"
"315","CCL19->CCR10"
"316","CCL19->CCR7"
"317","CCL19->CCRL2"
"318","CCL19->CXCR3"
"319","CCL2->ACKR1"
"320","CCL2->ACKR2"
"321","CCL2->ACKR4"
"322","CCL2->CCR1"
"323","CCL2->CCR10"
"324","CCL2->CCR2"
"325","CCL2->CCR3"
"326","CCL2->CCR4"
"327","CCL2->CCR5"
"328","CCL20->ACKR4"
"329","CCL20->CCR6"
"330","CCL20->CXCR3"
"331","CCL21->ACKR2"
"332","CCL21->ACKR4"
"333","CCL21->CCR10"
"334","CCL21->CCR7"
"335","CCL21->CXCR3"
"336","CCL22->ACKR2"
"337","CCL22->CCR4"
"338","CCL23->CCR1"
"339","CCL24->CCR2"
"340","CCL24->CCR3"
"341","CCL25->ACKR2"
"342","CCL25->ACKR4"
"343","CCL25->CCR10"
"344","CCL25->CCR9"
"345","CCL26->CCR1"
"346","CCL26->CCR2"
"347","CCL26->CCR3"
"348","CCL27->ACKR2"
"349","CCL27->CCR10"
"350","CCL28->ACKR2"
"351","CCL28->CCR10"
"352","CCL28->CCR3"
"353","CCL3->ACKR2"
"354","CCL3->CCR1"
"355","CCL3->CCR3"
"356","CCL3->CCR4"
"357","CCL3->CCR5"
"358","CCL3L1->ACKR2"
"359","CCL3L1->CCR1"
"360","CCL3L1->CCR3"
"361","CCL3L1->CCR5"
"362","CCL3L3->ACKR2"
"363","CCL3L3->CCR5"
"364","CCL4->ACKR2"
"365","CCL4->CCR1"
"366","CCL4->CCR3"
"367","CCL4->CCR5"
"368","CCL4->CCR8"
"369","CCL4L1->CCR1"
"370","CCL4L1->CCR3"
"371","CCL4L1->CCR5"
"372","CCL5->ACKR1"
"373","CCL5->ACKR2"
"374","CCL5->CCR1"
"375","CCL5->CCR3"
"376","CCL5->CCR4"
"377","CCL5->CCR5"
"378","CCL5->CXCR3"
"379","CCL5->GPR75"
"380","CCL5->SDC1"
"381","CCL5->SDC4"
"382","CCL7->ACKR1"
"383","CCL7->ACKR2"
"384","CCL7->ACKR4"
"385","CCL7->CCR1"
"386","CCL7->CCR10"
"387","CCL7->CCR2"
"388","CCL7->CCR3"
"389","CCL7->CCR5"
"390","CCL7->CXCR3"
"391","CCL8->ACKR1"
"392","CCL8->ACKR2"
"393","CCL8->ACKR4"
"394","CCL8->CCR1"
"395","CCL8->CCR2"
"396","CCL8->CCR3"
"397","CCL8->CCR5"
"398","CCN1->ITGA5"
"399","CCN1->ITGAM"
"400","CCN1->ITGAV"
"401","CCN1->ITGB2"
"402","CCN1->ITGB3"
"403","CCN1->ITGB5"
"404","CCN1->SDC4"
"405","CCN2->FGFR2"
"406","CCN2->IGF2R"
"407","CCN2->ITGA5"
"408","CCN2->ITGAM"
"409","CCN2->ITGB2"
"410","CCN2->LRP1"
"411","CCN2->LRP6"
"412","CCN2->NTRK1"
"413","CCN3->NOTCH1"
"414","CCN4->ITGA5"
"415","CCN4->ITGB1"
"416","CD14->ITGA4"
"417","CD14->ITGB1"
"418","CD160->TNFRSF14"
"419","CD177->PECAM1"
"420","CD1D->LILRB2"
"421","CD2->CD48"
"422","CD200->CD200R1"
"423","CD200->CD200R1L"
"424","CD200R1->CD200"
"425","CD209->ICAM3"
"426","CD22->PTPRC"
"427","CD226->NECTIN2"
"428","CD226->PVR"
"429","CD24->SELP"
"430","CD244->CD48"
"431","CD274->CD80"
"432","CD274->PDCD1"
"433","CD28->CD80"
"434","CD28->CD86"
"435","CD34->SELE"
"436","CD34->SELL"
"437","CD34->SELP"
"438","CD38->PECAM1"
"439","CD40LG->CD40"
"440","CD44->SELE"
"441","CD47->SIRPA"
"442","CD47->SIRPG"
"443","CD48->CD2"
"444","CD48->CD244"
"445","CD52->SIGLEC10"
"446","CD55->ADGRE5"
"447","CD58->CD2"
"448","CD59->CD2"
"449","CD5L->CD5"
"450","CD6->ALCAM"
"451","CD70->CD27"
"452","CD80->CD274"
"453","CD80->CD28"
"454","CD80->CTLA4"
"455","CD84->CD84"
"456","CD86->CD28"
"457","CD86->CTLA4"
"458","CD9->L1CAM"
"459","CD96->NECTIN1"
"460","CD96->PVR"
"461","CD99->PILRA"
"462","CD99->PILRB"
"463","CDH1->EGFR"
"464","CDH1->IGF1R"
"465","CDH1->ITGAE"
"466","CDH1->ITGB7"
"467","CDH1->KLRG1"
"468","CDH1->PTPRM"
"469","CEACAM1->CD209"
"470","CEACAM1->HAVCR2"
"471","CEACAM1->SELE"
"472","CEACAM5->CD1D"
"473","CEACAM5->CD8A"
"474","CEACAM6->CEACAM8"
"475","CEACAM8->CEACAM1"
"476","CEL->CXCR4"
"477","CFH->ITGAM"
"478","CFH->SELL"
"479","CFP->NCR1"
"480","CGA->LHCGR"
"481","CGB3->LHCGR"
"482","CGN->F11R"
"483","CHAD->ITGA2"
"484","CHAD->ITGB1"
"485","CIRBP->TREM1"
"486","CLCF1->CNTFR"
"487","CLCF1->CRLF1"
"488","CLCF1->IL6ST"
"489","CLCF1->LIFR"
"490","CLEC11A->ITGA10"
"491","CLEC11A->ITGA11"
"492","CLEC11A->ITGB1"
"493","CLEC2A->KLRF2"
"494","CLEC2B->KLRF1"
"495","CLEC2D->KLRB1"
"496","CLEC4G->LAG3"
"497","CNTF->CNTFR"
"498","CNTF->IL6R"
"499","CNTF->IL6ST"
"500","CNTF->LIFR"
"501","CNTN1->NOTCH1"
"502","CNTN1->NOTCH2"
"503","CNTN1->PTPRZ1"
"504","CNTN2->CNTN1"
"505","CNTN2->CNTNAP2"
"506","CNTN2->NRCAM"
"507","CNTN4->PTPRG"
"508","CNTN6->NOTCH1"
"509","COL11A1->DDR1"
"510","COL14A1->CD44"
"511","COL18A1->GPC1"
"512","COL18A1->GPC4"
"513","COL18A1->ITGA5"
"514","COL18A1->ITGB1"
"515","COL18A1->KDR"
"516","COL18A1->PTPRS"
"517","COL1A1->CD36"
"518","COL1A1->CD44"
"519","COL1A1->CD93"
"520","COL1A1->DDR1"
"521","COL1A1->DDR2"
"522","COL1A1->GP6"
"523","COL1A1->ITGA11"
"524","COL1A1->ITGA2"
"525","COL1A1->ITGA5"
"526","COL1A1->ITGB1"
"527","COL1A2->CD44"
"528","COL1A2->CD93"
"529","COL1A2->GP6"
"530","COL1A2->ITGA11"
"531","COL1A2->ITGA2"
"532","COL1A2->ITGB1"
"533","COL1A2->ITGB3"
"534","COL2A1->DDR1"
"535","COL2A1->ITGA10"
"536","COL2A1->ITGA2"
"537","COL2A1->ITGB1"
"538","COL2A1->MAG"
"539","COL2A1->TNFRSF10A"
"540","COL3A1->DDR1"
"541","COL3A1->DDR2"
"542","COL3A1->MAG"
"543","COL4A1->CD93"
"544","COL4A1->ITGA1"
"545","COL4A1->ITGAV"
"546","COL4A1->ITGB1"
"547","COL4A1->ITGB8"
"548","COL4A2->CD93"
"549","COL4A3->CD47"
"550","COL4A3->CD93"
"551","COL4A3->ITGAV"
"552","COL4A5->CD93"
"553","COL4A6->CD93"
"554","COL5A1->SDC3"
"555","COL5A2->DDR1"
"556","COL5A3->SDC3"
"557","COL8A1->ITGA1"
"558","COL8A1->ITGA2"
"559","COL9A1->MAG"
"560","COL9A2->MAG"
"561","COL9A3->MAG"
"562","COLQ->MUSK"
"563","COMP->CD47"
"564","COMP->ITGA5"
"565","COMP->ITGB3"
"566","CORT->GHSR"
"567","CORT->MRGPRX2"
"568","CORT->SSTR1"
"569","CORT->SSTR2"
"570","CORT->SSTR3"
"571","CORT->SSTR4"
"572","CORT->SSTR5"
"573","CP->SLC40A1"
"574","CPAMD8->SCTR"
"575","CRH->CRHR1"
"576","CRH->CRHR2"
"577","CRLF1->CNTFR"
"578","CRP->OLR1"
"579","CRTAM->CADM1"
"580","CSF1->CSF1R"
"581","CSF2->CSF2RA"
"582","CSF2->CSF2RB"
"583","CSF2->CSF3R"
"584","CSF2->IL3RA"
"585","CSF2->SDC2"
"586","CSF3->CSF3R"
"587","CSH1->PRLR"
"588","CTF1->IL6ST"
"589","CTF1->LIFR"
"590","CTHRC1->FZD3"
"591","CTHRC1->FZD5"
"592","CTHRC1->FZD6"
"593","CTHRC1->ROR2"
"594","CX3CL1->CX3CR1"
"595","CX3CL1->ITGAV"
"596","CX3CL1->ITGB3"
"597","CXADR->CXADR"
"598","CXADR->JAML"
"599","CXCL1->ACKR1"
"600","CXCL1->CXCR1"
"601","CXCL1->CXCR2"
"602","CXCL10->CCR3"
"603","CXCL10->CXCR3"
"604","CXCL10->SDC4"
"605","CXCL11->ACKR3"
"606","CXCL11->CCR3"
"607","CXCL11->CXCR3"
"608","CXCL12->ACKR3"
"609","CXCL12->CD4"
"610","CXCL12->CXCR3"
"611","CXCL12->CXCR4"
"612","CXCL12->ITGA4"
"613","CXCL12->ITGA5"
"614","CXCL12->ITGAV"
"615","CXCL12->ITGB1"
"616","CXCL12->ITGB3"
"617","CXCL13->ACKR4"
"618","CXCL13->CCR10"
"619","CXCL13->CXCR3"
"620","CXCL13->CXCR5"
"621","CXCL14->CXCR4"
"622","CXCL16->CXCR6"
"623","CXCL17->GPR35"
"624","CXCL2->CXCR1"
"625","CXCL2->CXCR2"
"626","CXCL2->XCR1"
"627","CXCL3->CXCR1"
"628","CXCL3->CXCR2"
"629","CXCL5->ACKR1"
"630","CXCL5->CXCR1"
"631","CXCL5->CXCR2"
"632","CXCL6->CXCR1"
"633","CXCL6->CXCR2"
"634","CXCL8->ACKR1"
"635","CXCL8->CXCR1"
"636","CXCL8->CXCR2"
"637","CXCL8->SDC1"
"638","CXCL8->SDC2"
"639","CXCL9->CCR3"
"640","CXCL9->CXCR3"
"641","CYTL1->CCR2"
"642","DAG1->LAMA4"
"643","DCN->EGFR"
"644","DCN->ERBB4"
"645","DCN->MET"
"646","DCN->TLR2"
"647","DCN->TLR4"
"648","DEFB1->CCR6"
"649","DEFB103A->CCR6"
"650","DEFB103B->CCR2"
"651","DEFB103B->CCR6"
"652","DEFB106A->CCR2"
"653","DEFB4A->CCR6"
"654","DEFB4A->TLR4"
"655","DEFB4B->CCR6"
"656","DHH->BOC"
"657","DHH->CDON"
"658","DHH->HHIP"
"659","DHH->PTCH1"
"660","DHH->PTCH2"
"661","DKK1->KREMEN1"
"662","DKK1->KREMEN2"
"663","DKK1->LRP4"
"664","DKK1->LRP5"
"665","DKK1->LRP6"
"666","DKK2->KREMEN1"
"667","DKK2->KREMEN2"
"668","DKK2->LRP5"
"669","DKK2->LRP6"
"670","DKK4->KREMEN1"
"671","DKK4->KREMEN2"
"672","DKK4->LRP6"
"673","DLK1->NOTCH1"
"674","DLK1->NOTCH2"
"675","DLK1->NOTCH3"
"676","DLK1->NOTCH4"
"677","DLK2->NOTCH1"
"678","DLL1->NOTCH1"
"679","DLL1->NOTCH2"
"680","DLL1->NOTCH3"
"681","DLL1->NOTCH4"
"682","DLL3->NOTCH1"
"683","DLL3->NOTCH2"
"684","DLL3->NOTCH3"
"685","DLL3->NOTCH4"
"686","DLL4->NOTCH1"
"687","DLL4->NOTCH2"
"688","DLL4->NOTCH3"
"689","DLL4->NOTCH4"
"690","DNAJB11->PRTG"
"691","DSC1->DSG1"
"692","DSC1->DSG2"
"693","DSC1->DSG3"
"694","DSC1->DSG4"
"695","DSC2->DSG1"
"696","DSC2->DSG2"
"697","DSC2->DSG3"
"698","DSC2->DSG4"
"699","DSC3->DSG1"
"700","DSC3->DSG2"
"701","DSC3->DSG3"
"702","DSC3->DSG4"
"703","DSG1->DSC3"
"704","DSG2->DSC1"
"705","DSG2->DSC3"
"706","DSPP->ITGB6"
"707","EBI3->IL27RA"
"708","EBI3->IL6ST"
"709","ECM1->ITGB4"
"710","EDA->EDA2R"
"711","EDA->EDAR"
"712","EDIL3->ITGB3"
"713","EDN1->EDNRA"
"714","EDN1->EDNRB"
"715","EDN1->KEL"
"716","EDN2->EDNRA"
"717","EDN2->EDNRB"
"718","EDN2->KEL"
"719","EDN3->EDNRA"
"720","EDN3->EDNRB"
"721","EDN3->KEL"
"722","EFEMP1->EGFR"
"723","EFNA1->EPHA1"
"724","EFNA1->EPHA2"
"725","EFNA1->EPHA3"
"726","EFNA1->EPHA4"
"727","EFNA1->EPHA5"
"728","EFNA1->EPHA6"
"729","EFNA1->EPHA7"
"730","EFNA1->EPHA8"
"731","EFNA2->EPHA1"
"732","EFNA2->EPHA2"
"733","EFNA2->EPHA3"
"734","EFNA2->EPHA4"
"735","EFNA2->EPHA5"
"736","EFNA2->EPHA6"
"737","EFNA2->EPHA7"
"738","EFNA2->EPHA8"
"739","EFNA3->EPHA1"
"740","EFNA3->EPHA2"
"741","EFNA3->EPHA3"
"742","EFNA3->EPHA4"
"743","EFNA3->EPHA5"
"744","EFNA3->EPHA6"
"745","EFNA3->EPHA7"
"746","EFNA3->EPHA8"
"747","EFNA3->EPHB1"
"748","EFNA4->EPHA1"
"749","EFNA4->EPHA2"
"750","EFNA4->EPHA3"
"751","EFNA4->EPHA4"
"752","EFNA4->EPHA5"
"753","EFNA4->EPHA6"
"754","EFNA4->EPHA7"
"755","EFNA4->EPHA8"
"756","EFNA5->EPHA1"
"757","EFNA5->EPHA2"
"758","EFNA5->EPHA3"
"759","EFNA5->EPHA4"
"760","EFNA5->EPHA5"
"761","EFNA5->EPHA6"
"762","EFNA5->EPHA7"
"763","EFNA5->EPHA8"
"764","EFNA5->EPHB1"
"765","EFNA5->EPHB2"
"766","EFNA5->EPHB6"
"767","EFNB1->EPHA4"
"768","EFNB1->EPHB1"
"769","EFNB1->EPHB2"
"770","EFNB1->EPHB3"
"771","EFNB1->EPHB4"
"772","EFNB1->EPHB6"
"773","EFNB1->ERBB2"
"774","EFNB2->EPHA3"
"775","EFNB2->EPHA4"
"776","EFNB2->EPHA6"
"777","EFNB2->EPHB1"
"778","EFNB2->EPHB2"
"779","EFNB2->EPHB3"
"780","EFNB2->EPHB4"
"781","EFNB2->EPHB6"
"782","EFNB2->GRM1"
"783","EFNB2->GRM5"
"784","EFNB2->PECAM1"
"785","EFNB2->RHBDL2"
"786","EFNB3->EPHA4"
"787","EFNB3->EPHB1"
"788","EFNB3->EPHB2"
"789","EFNB3->EPHB3"
"790","EFNB3->EPHB4"
