"","ligandreceptor_pair"
"791","EFNB3->EPHB6"
"792","EFNB3->RHBDL2"
"793","EGF->EGFR"
"794","EGF->ERBB2"
"795","EGF->ERBB3"
"796","EGF->ERBB4"
"797","ENAM->CD63"
"798","ENHO->GPR19"
"799","EPCAM->EPCAM"
"800","EPGN->EGFR"
"801","EPHA4->EFNB1"
"802","EPO->CRLF3"
"803","EPO->EPHB4"
"804","EPO->EPOR"
"805","EREG->EGFR"
"806","EREG->ERBB4"
"807","F10->F3"
"808","F11->GP1BA"
"809","F11R->JAM2"
"810","F12->GP1BA"
"811","F13A1->ITGA4"
"812","F13A1->ITGA9"
"813","F13A1->ITGB1"
"814","F2->F2R"
"815","F2->F2RL1"
"816","F2->F2RL2"
"817","F2->F2RL3"
"818","F2->GP1BA"
"819","F2->GP9"
"820","F2->ITGA2B"
"821","F2->THBD"
"822","F7->F3"
"823","F8->ASGR2"
"824","F8->LDLR"
"825","F8->LRP1"
"826","F9->LRP1"
"827","FAM3C->LIFR"
"828","FAM3D->FPR1"
"829","FAM3D->FPR2"
"830","FASLG->FAS"
"831","FASLG->TNFRSF6B"
"832","FAT4->DCHS1"
"833","FBLN1->ITGB1"
"834","FBN1->ITGA5"
"835","FBN1->ITGAV"
"836","FBN1->ITGB1"
"837","FBN1->ITGB3"
"838","FCER2->CR2"
"839","FCN2->LRP1"
"840","FGA->ITGA2B"
"841","FGA->ITGA5"
"842","FGA->ITGAM"
"843","FGA->ITGAV"
"844","FGA->ITGAX"
"845","FGA->ITGB1"
"846","FGA->ITGB2"
"847","FGA->ITGB3"
"848","FGA->TLR4"
"849","FGB->ITGA2B"
"850","FGB->ITGA5"
"851","FGB->ITGAM"
"852","FGB->ITGAV"
"853","FGB->ITGB1"
"854","FGB->ITGB2"
"855","FGB->TLR4"
"856","FGF1->CD44"
"857","FGF1->CSPG4"
"858","FGF1->FGFR1"
"859","FGF1->FGFR2"
"860","FGF1->FGFR3"
"861","FGF1->FGFR4"
"862","FGF1->NRP1"
"863","FGF10->FGFR1"
"864","FGF10->FGFR2"
"865","FGF10->FGFRL1"
"866","FGF13->SCN5A"
"867","FGF13->SCN8A"
"868","FGF16->FGFR2"
"869","FGF16->FGFR3"
"870","FGF16->FGFR4"
"871","FGF17->FGFR1"
"872","FGF17->FGFR2"
"873","FGF17->FGFR3"
"874","FGF17->FGFR4"
"875","FGF18->FGFR1"
"876","FGF18->FGFR2"
"877","FGF18->FGFR3"
"878","FGF18->FGFR4"
"879","FGF19->FGFR1"
"880","FGF19->FGFR2"
"881","FGF19->FGFR3"
"882","FGF19->FGFR4"
"883","FGF19->KLB"
"884","FGF2->CD44"
"885","FGF2->FGFR1"
"886","FGF2->FGFR2"
"887","FGF2->FGFR3"
"888","FGF2->FGFR4"
"889","FGF2->FGFRL1"
"890","FGF2->GPC4"
"891","FGF2->NRP1"
"892","FGF2->SDC1"
"893","FGF2->SDC2"
"894","FGF2->SDC3"
"895","FGF2->SDC4"
"896","FGF20->FGFR1"
"897","FGF20->FGFR2"
"898","FGF20->FGFR3"
"899","FGF20->FGFR4"
"900","FGF21->FGFR4"
"901","FGF22->FGFR1"
"902","FGF22->FGFR2"
"903","FGF22->FGFRL1"
"904","FGF23->FGFR1"
"905","FGF23->FGFR2"
"906","FGF23->FGFR3"
"907","FGF23->FGFR4"
"908","FGF23->KL"
"909","FGF3->FGFR1"
"910","FGF3->FGFR2"
"911","FGF3->FGFR3"
"912","FGF3->FGFR4"
"913","FGF3->FGFRL1"
"914","FGF4->FGFR1"
"915","FGF4->FGFR2"
"916","FGF4->FGFR3"
"917","FGF4->FGFR4"
"918","FGF4->FGFRL1"
"919","FGF4->NRP1"
"920","FGF5->FGFR1"
"921","FGF5->FGFR2"
"922","FGF5->FGFR3"
"923","FGF5->FGFR4"
"924","FGF6->FGFR1"
"925","FGF6->FGFR2"
"926","FGF6->FGFR3"
"927","FGF6->FGFR4"
"928","FGF7->FGFR1"
"929","FGF7->FGFR2"
"930","FGF7->FGFR3"
"931","FGF7->NRP1"
"932","FGF8->FGFR1"
"933","FGF8->FGFR2"
"934","FGF8->FGFR3"
"935","FGF8->FGFR4"
"936","FGF8->FGFRL1"
"937","FGF9->FGFR1"
"938","FGF9->FGFR2"
"939","FGF9->FGFR3"
"940","FGF9->FGFR4"
"941","FGG->ITGA2B"
"942","FGG->ITGA5"
"943","FGG->ITGAV"
"944","FGG->ITGB1"
"945","FGG->ITGB2"
"946","FGG->TLR4"
"947","FGL1->EGFR"
"948","FGL1->LAG3"
"949","FLT3LG->FLT3"
"950","FN1->CD44"
"951","FN1->COL13A1"
"952","FN1->ITGA2"
"953","FN1->ITGA2B"
"954","FN1->ITGA4"
"955","FN1->ITGA5"
"956","FN1->ITGA8"
"957","FN1->ITGA9"
"958","FN1->ITGAV"
"959","FN1->ITGB1"
"960","FN1->ITGB3"
"961","FN1->ITGB6"
"962","FN1->ITGB7"
"963","FN1->ITGB8"
"964","FN1->MAG"
"965","FN1->NT5E"
"966","FN1->PLAUR"
"967","FN1->SDC2"
"968","FN1->TNFRSF11B"
"969","FN1->TSHR"
"970","FNDC5->ITGAV"
"971","FNDC5->ITGB5"
"972","FSHB->FSHR"
"973","FSTL1->DIP2A"
"974","FZD8->CKAP4"
"975","GAL->GALR1"
"976","GAL->GALR2"
"977","GAL->GALR3"
"978","GAL->GPR151"
"979","GALP->GALR1"
"980","GALP->GALR2"
"981","GALP->GALR3"
"982","GAS6->AXL"
"983","GAS6->MERTK"
"984","GAS6->TYRO3"
"985","GAST->CCKBR"
"986","GCG->GCGR"
"987","GCG->GLP1R"
"988","GCG->GLP2R"
"989","GDF1->ACVR1"
"990","GDF1->BMPR1A"
"991","GDF1->BMPR2"
"992","GDF11->ACVR1B"
"993","GDF11->ACVR2A"
"994","GDF11->ACVR2B"
"995","GDF15->GFRAL"
"996","GDF2->ACVR1"
"997","GDF2->ACVR2A"
"998","GDF2->ACVR2B"
"999","GDF2->ACVRL1"
"1000","GDF2->BMPR2"
"1001","GDF2->ENG"
"1002","GDF3->TDGF1"
"1003","GDF5->ACVR1"
"1004","GDF5->ACVR2A"
"1005","GDF5->ACVR2B"
"1006","GDF5->BMPR1A"
"1007","GDF5->BMPR1B"
"1008","GDF5->BMPR2"
"1009","GDF5->ROR2"
"1010","GDF6->BMPR1A"
"1011","GDF6->BMPR1B"
"1012","GDF6->BMPR2"
"1013","GDF7->ACVR2A"
"1014","GDF7->BMPR1A"
"1015","GDF7->BMPR2"
"1016","GDF9->ACVR2A"
"1017","GDF9->BMPR1A"
"1018","GDF9->BMPR1B"
"1019","GDF9->BMPR2"
"1020","GDF9->TGFBR1"
"1021","GDNF->GFRA1"
"1022","GDNF->GFRA2"
"1023","GDNF->RET"
"1024","GH1->GHR"
"1025","GH1->PRLR"
"1026","GH2->GHR"
"1027","GHRH->GHRHR"
"1028","GHRH->VIPR1"
"1029","GHRL->GHSR"
"1030","GHRL->GPR39"
"1031","GHRL->MLNR"
"1032","GIP->DPP4"
"1033","GIP->GIPR"
"1034","GLG1->SELE"
"1035","GNAI2->ADCY1"
"1036","GNAI2->ADORA1"
"1037","GNAI2->ADRA2A"
"1038","GNAI2->ADRA2B"
"1039","GNAI2->AGTR2"
"1040","GNAI2->C5AR1"
"1041","GNAI2->CAV1"
"1042","GNAI2->CCR5"
"1043","GNAI2->CNR1"
"1044","GNAI2->CXCR1"
"1045","GNAI2->CXCR2"
"1046","GNAI2->EDNRA"
"1047","GNAI2->EGFR"
"1048","GNAI2->F2R"
"1049","GNAI2->FPR1"
"1050","GNAI2->IGF1R"
"1051","GNAI2->LHCGR"
"1052","GNAI2->LPAR3"
"1053","GNAI2->MTNR1A"
"1054","GNAI2->MTNR1B"
"1055","GNAI2->OPRD1"
"1056","GNAI2->OPRM1"
"1057","GNAI2->P2RY12"
"1058","GNAI2->TBXA2R"
"1059","GNAI2->TSHR"
"1060","GNAS->ADRB2"
"1061","GNAS->AVPR2"
"1062","GNAS->CRHR1"
"1063","GNAS->GCGR"
"1064","GNAS->LHCGR"
"1065","GNAS->PTGDR"
"1066","GNAS->TSHR"
"1067","GNAS->VIPR1"
"1068","GNRH1->GNRHR"
"1069","GNRH2->GNRHR"
"1070","GPC3->CD81"
"1071","GPC3->IGF1R"
"1072","GPHA2->TSHR"
"1073","GPHB5->TSHR"
"1074","GPI->AMFR"
"1075","GREM1->KDR"
"1076","GRN->SORT1"
"1077","GRN->TNFRSF1A"
"1078","GRN->TNFRSF1B"
"1079","GRP->BRS3"
"1080","GRP->GRPR"
"1081","GRP->NMBR"
"1082","GUCA2A->GUCY2C"
"1083","GUCA2B->GUCY2C"
"1084","GUCA2B->GUCY2D"
"1085","GZMB->CHRM3"
"1086","GZMB->IGF2R"
"1087","HAS2->CD44"
"1088","HAS2->HMMR"
"1089","HAVCR1->CD300LB"
"1090","HAVCR1->HAVCR1"
"1091","HBEGF->CD44"
"1092","HBEGF->CD82"
"1093","HBEGF->CD9"
"1094","HBEGF->EGFR"
"1095","HBEGF->ERBB2"
"1096","HBEGF->ERBB4"
"1097","HCRT->HCRTR1"
"1098","HCRT->HCRTR2"
"1099","HCRT->NPFFR2"
"1100","HEBP1->FPR3"
"1101","HGF->CD44"
"1102","HGF->MET"
"1103","HGF->SDC1"
"1104","HGF->SDC2"
"1105","HGF->ST14"
"1106","HHLA2->TMIGD2"
"1107","HLA-A->APLP2"
"1108","HLA-A->ERBB2"
"1109","HLA-A->KIR3DL1"
"1110","HLA-A->KIR3DL2"
"1111","HLA-A->LILRB1"
"1112","HLA-A->LILRB2"
"1113","HLA-B->CANX"
"1114","HLA-B->KIR2DL3"
"1115","HLA-B->KIR3DL1"
"1116","HLA-B->KIR3DL2"
"1117","HLA-B->KLRD1"
"1118","HLA-B->LILRB1"
"1119","HLA-B->LILRB2"
"1120","HLA-C->KIR2DL1"
"1121","HLA-C->KIR2DL3"
"1122","HLA-C->KIR2DS4"
"1123","HLA-C->LILRA3"
"1124","HLA-C->LILRB1"
"1125","HLA-C->LILRB2"
"1126","HLA-E->KLRC1"
"1127","HLA-E->KLRC2"
"1128","HLA-E->KLRD1"
"1129","HLA-E->KLRK1"
"1130","HLA-F->KIR3DL1"
"1131","HLA-F->KIR3DL2"
"1132","HLA-F->LILRB1"
"1133","HLA-F->LILRB2"
"1134","HLA-G->KIR2DL4"
"1135","HLA-G->KLRC1"
"1136","HLA-G->KLRD1"
"1137","HLA-G->LILRB1"
"1138","HLA-G->LILRB2"
"1139","HMGB1->HAVCR2"
"1140","HMGB1->SDC1"
"1141","HMGB1->THBD"
"1142","HP->CD163"
"1143","HP->ITGAM"
"1144","HP->ITGB2"
"1145","HRAS->AGTR1"
"1146","HRAS->CAV1"
"1147","HRAS->INSR"
"1148","HRG->FCGR1A"
"1149","HSP90AA1->CFTR"
"1150","HSP90AA1->EGFR"
"1151","HSP90AA1->FGFR3"
"1152","HSPG2->COL13A1"
"1153","HSPG2->ITGA2"
"1154","HSPG2->ITGB1"
"1155","HSPG2->PTPRS"
"1156","IAPP->CALCR"
"1157","IAPP->RAMP1"
"1158","IAPP->RAMP2"
"1159","ICAM1->IL2RA"
"1160","ICAM1->ITGAL"
"1161","ICAM1->ITGAM"
"1162","ICAM1->ITGAX"
"1163","ICAM1->ITGB2"
"1164","ICAM1->SPN"
"1165","ICAM2->ITGAL"
"1166","ICAM2->ITGAM"
"1167","ICAM2->ITGB2"
"1168","ICAM3->CD209"
"1169","ICAM3->CLEC4M"
"1170","ICAM3->ITGAD"
"1171","ICAM3->ITGAL"
"1172","ICAM3->ITGB2"
"1173","ICAM4->ITGA2B"
"1174","ICAM4->ITGA4"
"1175","ICAM4->ITGAL"
"1176","ICAM4->ITGAM"
"1177","ICAM4->ITGAV"
"1178","ICAM4->ITGB1"
"1179","ICAM4->ITGB2"
"1180","ICAM4->ITGB3"
"1181","ICAM5->ITGAL"
"1182","ICAM5->ITGB2"
"1183","ICOSLG->CD28"
"1184","ICOSLG->CTLA4"
"1185","ICOS->ICOSLG"
"1186","ICOSLG->ICOS"
"1187","IFNA1->IFNAR1"
"1188","IFNA1->IFNAR2"
"1189","IFNA10->IFNAR1"
"1190","IFNA10->IFNAR2"
"1191","IFNA13->IFNAR1"
"1192","IFNA13->IFNAR2"
"1193","IFNA14->IFNAR1"
"1194","IFNA14->IFNAR2"
"1195","IFNA16->IFNAR1"
"1196","IFNA16->IFNAR2"
"1197","IFNA17->IFNAR1"
"1198","IFNA17->IFNAR2"
"1199","IFNA2->IFNAR1"
"1200","IFNA2->IFNAR2"
"1201","IFNA21->IFNAR1"
"1202","IFNA21->IFNAR2"
"1203","IFNA4->IFNAR1"
"1204","IFNA4->IFNAR2"
"1205","IFNA5->IFNAR1"
"1206","IFNA5->IFNAR2"
"1207","IFNA6->IFNAR1"
"1208","IFNA6->IFNAR2"
"1209","IFNA7->IFNAR1"
"1210","IFNA7->IFNAR2"
"1211","IFNA8->IFNAR1"
"1212","IFNA8->IFNAR2"
"1213","IFNB1->IFNAR1"
"1214","IFNB1->IFNAR2"
"1215","IFNE->IFNAR1"
"1216","IFNE->IFNAR2"
"1217","IFNG->IFNGR1"
"1218","IFNG->IFNGR2"
"1219","IFNK->IFNAR1"
"1220","IFNK->IFNAR2"
"1221","IFNL1->IFNLR1"
"1222","IFNL1->IL10RB"
"1223","IFNL2->IFNLR1"
"1224","IFNL2->IL10RB"
"1225","IFNL3->IFNLR1"
"1226","IFNL3->IL10RB"
"1227","IFNL4->IFNLR1"
"1228","IFNL4->IL10RB"
"1229","IFNW1->IFNAR1"
"1230","IFNW1->IFNAR2"
"1231","IGF1->IGF1R"
"1232","IGF2->IGF1R"
"1233","IGF2->IGF2R"
"1234","IGF2->INSR"
"1235","IGFBP4->FZD8"
"1236","IGFBP4->LRP6"
"1237","IGFL1->IGFLR1"
"1238","IGFL2->IGFLR1"
"1239","IGFL3->IGFLR1"
"1240","IGSF11->VSIR"
"1241","IHH->BOC"
"1242","IHH->CDON"
"1243","IHH->HHIP"
"1244","IHH->PTCH1"
"1245","IHH->PTCH2"
"1246","IL10->IL10RA"
"1247","IL10->IL10RB"
"1248","IL11->IL11RA"
"1249","IL11->IL6ST"
"1250","IL12A->IL12RB1"
"1251","IL12A->IL12RB2"
"1252","IL12B->IL12RB1"
"1253","IL12B->IL12RB2"
"1254","IL12B->IL23R"
"1255","IL13->IL13RA1"
"1256","IL13->IL13RA2"
"1257","IL13->IL2RG"
"1258","IL13->IL4R"
"1259","IL15->IL15RA"
"1260","IL15->IL2RA"
"1261","IL15->IL2RB"
"1262","IL15->IL2RG"
"1263","IL16->CD4"
"1264","IL16->GRIN2D"
"1265","IL16->KCNJ10"
"1266","IL16->KCNJ15"
"1267","IL17A->IL17RA"
"1268","IL17A->IL17RC"
"1269","IL17B->IL17RB"
"1270","IL17C->IL17RA"
"1271","IL17C->IL17RE"
"1272","IL17F->IL17RA"
"1273","IL18->IL18R1"
"1274","IL18->IL18RAP"
"1275","IL18->IL1RAPL1"
"1276","IL19->IL20RA"
"1277","IL19->IL20RB"
"1278","IL1A->IL1R1"
"1279","IL1A->IL1R2"
"1280","IL1A->IL1RAP"
"1281","IL1B->IL1R1"
"1282","IL1B->IL1R2"
"1283","IL1B->IL1RAP"
"1284","IL1F10->IL1R1"
"1285","IL1RAPL1->PTPRD"
"1286","IL1RAPL1->PTPRF"
"1287","IL1RAPL1->PTPRS"
"1288","IL1RN->IL1R1"
"1289","IL1RN->IL1R2"
"1290","IL2->CD53"
"1291","IL2->IL2RA"
"1292","IL2->IL2RB"
"1293","IL2->IL2RG"
"1294","IL20->IL20RA"
"1295","IL20->IL20RB"
"1296","IL20->IL22RA1"
"1297","IL21->IL21R"
"1298","IL21->IL2RG"
"1299","IL22->IL10RA"
"1300","IL22->IL10RB"
"1301","IL22->IL22RA1"
"1302","IL22->IL22RA2"
"1303","IL23A->IL12RB1"
"1304","IL23A->IL23R"
"1305","IL24->IL20RA"
"1306","IL24->IL20RB"
"1307","IL24->IL22RA1"
"1308","IL25->IL17RB"
"1309","IL26->IL20RA"
"1310","IL26->IL20RB"
"1311","IL27->IL27RA"
"1312","IL3->CSF2RB"
"1313","IL3->IL3RA"
"1314","IL31->IL31RA"
"1315","IL31->OSMR"
"1316","IL32->ITGB3"
"1317","IL33->IL1RL1"
"1318","IL34->CSF1R"
"1319","IL34->PTPRZ1"
"1320","IL36A->IL1RL2"
"1321","IL36RN->IL1RL2"
"1322","IL4->CD53"
"1323","IL4->IL13RA1"
"1324","IL4->IL13RA2"
"1325","IL4->IL2RG"
"1326","IL4->IL4R"
"1327","IL5->CSF2RB"
"1328","IL5->IL5RA"
"1329","IL6->IL6R"
"1330","IL6->IL6ST"
"1331","IL7->IL2RG"
"1332","IL7->IL7R"
"1333","IL9->IL2RG"
"1334","IL9->IL9R"
"1335","INHA->ACVR2A"
"1336","INHA->TGFBR3"
"1337","INHBA->ACVR1"
"1338","INHBA->ACVR1B"
"1339","INHBA->ACVR1C"
"1340","INHBA->ACVR2A"
"1341","INHBA->ACVR2B"
"1342","INHBA->BAMBI"
"1343","INHBA->ENG"
"1344","INHBA->TGFBR3"
"1345","INHBB->ACVR1"
"1346","INHBB->ACVR1B"
"1347","INHBB->ACVR1C"
"1348","INHBB->ACVR2A"
"1349","INHBB->ACVR2B"
"1350","INHBB->CFC1"
"1351","INHBB->CFC1B"
"1352","INHBC->ACVR2A"
"1353","INHBC->ACVR2B"
"1354","INS->IGF1R"
"1355","INS->INSR"
"1356","INS->LRP2"
"1357","INSL3->RXFP2"
"1358","INSL5->RXFP3"
"1359","INSL5->RXFP4"
"1360","ITGAV->THY1"
"1361","ITGB2->THY1"
"1362","JAG1->CD46"
"1363","JAG1->NOTCH1"
"1364","JAG1->NOTCH2"
"1365","JAG1->NOTCH3"
"1366","JAG1->NOTCH4"
"1367","JAG2->NOTCH1"
"1368","JAG2->NOTCH2"
"1369","JAG2->NOTCH3"
"1370","JAG2->NOTCH4"
"1371","JAM2->F11R"
"1372","JAM2->JAM3"
"1373","JAM3->JAM2"
"1374","JAML->CXADR"
"1375","KIR3DS1->HLA-F"
"1376","KISS1->KISS1R"
"1377","KISS1->MMP24"
"1378","KITLG->KIT"
"1379","KLRB1->CLEC2D"
"1380","KLRF1->CLEC2B"
"1381","KMT2E->NCR2"
"1382","KNG1->BDKRB1"
"1383","KNG1->BDKRB2"
"1384","KNG1->GP1BA"
"1385","KNG1->GPR135"
"1386","KNG1->ITGB2"
"1387","KNG1->PLAUR"
"1388","KNG1->RXFP4"
"1389","L1CAM->ALCAM"
"1390","L1CAM->CD9"
"1391","L1CAM->CNTN1"
"1392","L1CAM->EGFR"
"1393","L1CAM->EPHB2"
"1394","L1CAM->ERBB2"
"1395","L1CAM->ERBB3"
"1396","L1CAM->ITGA5"
"1397","L1CAM->ITGAV"
"1398","L1CAM->PTPRZ1"
"1399","LACRT->SDC1"
"1400","LAMA1->ITGA1"
"1401","LAMA1->ITGA2"
"1402","LAMA1->ITGA7"
"1403","LAMA1->ITGB1"
"1404","LAMA1->ITGB8"
"1405","LAMA1->RPSA"
"1406","LAMA2->DAG1"
"1407","LAMA2->ITGA7"
"1408","LAMA2->ITGB1"
"1409","LAMA2->RPSA"
"1410","LAMA3->SDC2"
"1411","LAMA5->BCAM"
"1412","LAMB1->ITGA6"
"1413","LAMB1->ITGB1"
"1414","LAMB2->RPSA"
"1415","LAMC2->ITGA3"
"1416","LAMC2->ITGA6"
"1417","LAMC2->ITGB1"
"1418","LAMC2->ITGB4"
"1419","LCN1->LMBR1L"
"1420","LCN2->LRP2"
"1421","LEAP2->GHSR"
"1422","LEFTY2->ACVR2B"
"1423","LEP->LEPR"
"1424","LGALS1->CD69"
"1425","LGALS1->ITGB1"
"1426","LGALS1->PTPRC"
"1427","LGALS3->LAG3"
"1428","LGALS3BP->ITGB1"
"1429","LGALS9->CD44"
"1430","LGALS9->HAVCR2"
"1431","LGI1->ADAM11"
"1432","LGI1->ADAM22"
"1433","LGI1->ADAM23"
"1434","LGI1->RTN4R"
"1435","LGI2->ADAM11"
"1436","LGI2->ADAM22"
"1437","LGI2->ADAM23"
"1438","LGI3->ADAM22"
"1439","LGI3->ADAM23"
"1440","LGI3->FLOT1"
"1441","LGI3->STX1A"
"1442","LGI4->ADAM11"
"1443","LGI4->ADAM22"
"1444","LGI4->ADAM23"
"1445","LHB->LHCGR"
"1446","LIF->IL6ST"
"1447","LIF->LIFR"
"1448","LILRB4->LAIR1"
"1449","LIN7C->HTR2C"
"1450","LIPC->LRP1"
"1451","LIPH->LPAR1"
"1452","LIPH->LPAR2"
"1453","LIPH->LPAR4"
"1454","LPA->LRP2"
"1455","LPL->GPIHBP1"
"1456","LPL->LRP1"
"1457","LPL->LRP2"
"1458","LPL->SDC1"
"1459","LPL->VLDLR"
"1460","LRFN3->LRFN3"
"1461","LRFN5->LRFN5"
"1462","LRPAP1->LDLR"
"1463","LRPAP1->LRP1"
"1464","LRPAP1->LRP2"
"1465","LRPAP1->LRP8"
"1466","LRPAP1->SORL1"
"1467","LRPAP1->SORT1"
"1468","LRPAP1->VLDLR"
"1469","LRRC4B->PTPRD"
"1470","LRRC4B->PTPRF"
"1471","LRRC4B->PTPRS"
"1472","LTA->LTBR"
"1473","LTA->TNFRSF14"
"1474","LTA->TNFRSF1A"
"1475","LTA->TNFRSF1B"
"1476","LTB->CD40"
"1477","LTB->LTBR"
"1478","LTB->TNFRSF1A"
"1479","LTBP1->ITGB5"
"1480","LTBP3->ITGB5"
"1481","LTF->LRP1"
"1482","LTF->LRP11"
"1483","LY86->CD180"
"1484","LY9->LY9"
"1485","MADCAM1->CD44"
"1486","MADCAM1->ITGA4"
"1487","MADCAM1->ITGB7"
"1488","MATN1->ITGA1"
"1489","MATN1->ITGB1"
"1490","MBL2->CD93"
"1491","MCAM->MCAM"
"1492","MDK->ALK"
"1493","MDK->ITGA4"
"1494","MDK->ITGA6"
"1495","MDK->ITGB1"
"1496","MDK->LRP1"
"1497","MDK->NOTCH2"
"1498","MDK->PTPRZ1"
"1499","MDK->SDC1"
"1500","MDK->SDC3"
"1501","MDK->SDC4"
"1502","MDK->TSPAN1"
"1503","MELTF->PLG"
"1504","MEPE->PHEX"
"1505","MFGE8->ITGAV"
"1506","MFGE8->ITGB3"
"1507","MFGE8->PDGFRB"
"1508","MFNG->NOTCH1"
"1509","MFNG->NOTCH2"
"1510","MIA->CDH7"
"1511","MICA->KLRK1"
"1512","MICB->KLRK1"
"1513","MIF->CD74"
"1514","MIF->CXCR2"
"1515","MIF->CXCR4"
"1516","MLN->MLNR"
"1517","MMP1->ITGA2"
"1518","MMP12->PLAUR"
"1519","MMP13->LRP1"
"1520","MMP2->SDC2"
"1521","MMP7->CD151"
"1522","MMP7->CD44"
"1523","MMP7->ERBB4"
"1524","MMP9->CD44"
"1525","MMP9->EPHB2"
"1526","MMP9->LRP1"
"1527","MMRN2->CD248"
"1528","MMRN2->CD93"
"1529","MMRN2->CLEC14A"
"1530","MRC1->PTPRC"
"1531","MSMP->CCR2"
"1532","MST1->MST1R"
"1533","MSTN->ACVR2B"
"1534","MUC1->SIGLEC9"
"1535","MUC2->AGR2"
"1536","MUC7->SELL"
"1537","MYL9->CD69"
"1538","MYOC->FZD1"
"1539","MYOC->FZD10"
"1540","MYOC->FZD3"
"1541","MYOC->FZD4"
"1542","MYOC->FZD7"
"1543","NAMPT->INSR"
"1544","NCAM1->FGFR1"
"1545","NCAM1->GFRA1"
"1546","NCAM1->PTPRZ1"
"1547","NCAM1->ROBO1"
"1548","NCAM1->ROBO3"
"1549","NCR3LG1->NCR3"
